Case #,Incident Code,Report Time,Case Status,Start Occurred,End Occurred,Building,Location 1,Location 2,Stolen,Damaged,Summary
5000003,,2005-01-01T00:33:00Z,,2005-01-01T00:33:00Z,2005-01-01T00:33:00Z,N/A,"""R"" Street and N. 16th Street ", ,0.0,0.0,
5000005,,2005-01-01T01:34:00Z,,2005-01-01T01:34:00Z,2005-01-01T01:34:00Z,N/A,"""P"" Street and N. 16th Street ", ,0.0,0.0,
5000008,,2005-01-01T15:30:00Z,,2004-12-28T14:00:00Z,2004-12-31T22:00:00Z,N/A,2 Devonshire Lane , ,0.0,0.0,
5000010,,2005-01-01T19:40:00Z,,2005-01-01T19:40:00Z,2005-01-01T19:40:00Z,N/A,Pear Street and N. 29th Street , ,0.0,0.0,
5000015,,2005-01-02T16:58:00Z,,2004-12-17T08:30:00Z,2004-12-17T10:00:00Z,Beadle Center,1901 Vine St. , ,0.0,0.0,
5000024,,2005-01-04T10:08:00Z,,2004-12-16T15:00:00Z,2004-12-20T08:00:00Z,Kauffman Hall,630 N. 14th St. , ,0.0,0.0,
5000025,,2005-01-04T12:29:00Z,,2004-12-23T22:00:00Z,2004-12-23T22:05:00Z,N/A,N. 48th Street , ,50.0,0.0,
5000030,Lost Or Stolen Item,2005-01-04T23:43:00Z,,2004-10-01T00:00:00Z,2004-12-21T00:00:00Z,Burnett Hall,"1220 ""T"" St. ",UNL ACADEMIC BUILDING,0.0,0.0,
5000035,,2005-01-06T07:44:00Z,,2005-01-06T07:44:00Z,2005-01-06T07:44:00Z,Othmer Hall,820 N. 16th St. , ,0.0,0.0,
5000036,Lost Or Stolen Item,2005-01-06T10:53:00Z,,2005-01-06T07:50:00Z,2005-01-06T09:00:00Z,N/A,City of Lincoln ,UNKNOWN,75.0,0.0,
5000037,,2005-01-06T12:37:00Z,,2005-01-06T11:39:00Z,2005-01-06T11:39:00Z,Stadium,, ,0.0,0.0,
5000044,,2005-01-07T01:16:00Z,,2005-01-07T01:16:00Z,2005-01-07T01:16:00Z,N/A,N. 149th Street and N. 15th Street , ,0.0,0.0,
5000045,,2005-01-07T01:47:00Z,,2005-01-07T01:47:00Z,2005-01-07T01:47:00Z,N/A,"""P"" Street and N. 18th Street ", ,0.0,0.0,
5000052,,2005-01-07T13:29:00Z,,2005-01-03T08:00:00Z,2005-01-06T09:00:00Z,Hardin Hall,1600 N. 33rd St. , ,400.0,0.0,
5000053,,2005-01-07T13:38:00Z,,2004-12-24T18:00:00Z,2004-12-31T07:00:00Z,Telecommunications Building,900 N. 16th S./ , ,2000.0,0.0,
5000054,,2005-01-07T16:10:00Z,,2005-01-07T08:30:00Z,2005-01-07T16:10:00Z,Beadle Center,1901 Vine St. , ,0.0,0.0,
5000058,,2005-01-08T01:14:00Z,,2005-01-08T01:14:00Z,2005-01-08T01:14:00Z,N/A,N. 146th Street and N. 14th Street , ,0.0,0.0,
5000064,,2005-01-08T14:26:00Z,,2005-01-07T11:00:00Z,2005-01-07T13:30:00Z,College Of Dentistry,3975 Potter St. , ,0.0,0.0,
5000070,,2005-01-08T23:19:00Z,,2005-01-08T22:14:00Z,2005-01-08T22:14:00Z,N/A,, ,0.0,0.0,
5000071,,2005-01-09T01:17:00Z,,2005-01-09T01:17:00Z,2005-01-09T01:17:00Z,Andersen Hall,200 Centennial Mall N. , ,0.0,0.0,
5000072,,2005-01-09T03:45:00Z,,2005-01-09T02:24:00Z,2005-01-09T02:24:00Z,N/A,Vine Street and N. 21st Street , ,0.0,0.0,
5000085,Fraud - Credit Cards/atm/bank Card,2005-01-10T13:50:00Z,,2004-11-21T15:27:00Z,2004-11-21T22:48:00Z,Nebraska Union,"1400 ""R"" St. ",UNL RESIDENCE HALL,0.0,0.0,
5000086,Accidents - P-D- Reportable,2005-01-10T14:08:00Z,,2005-01-10T14:00:00Z,2005-01-10T14:00:00Z,N/A,"1640 ""Y"" St. ",GOVT. PARKING LOT (UNL),0.0,0.0,
5000089,Larceny - From Motor Vehicle,2005-01-10T15:04:00Z,,2005-01-10T08:00:00Z,2005-01-10T13:45:00Z,N/A,,GOVT. PARKING LOT (UNL),2.0,12.0,
5000090,Accidents - P-D- Not Reportable,2005-01-10T18:19:00Z,,2005-01-10T04:30:00Z,2005-01-10T16:00:00Z,N/A,Union Meter Parking Lot ,GOVT. PARKING LOT (UNL),0.0,0.0,
